"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-08-25 16:09:59 013095472_055_000_2","VOTE","","28,128.35","Vault Onboarding, 6s Updates, and Reducing Vault Liquidation Ratios - August 20, 2021","","YES"
"2021-08-25 16:09:59 013095472_055_000_1","MOVE VOTE","","28,128.35","MOMC Proposal, August Core Unit Budgets, Housekeeping - August 6, 2021","",""
"2021-08-25 16:09:59 013095472_055_000_0","MOVE VOTE","","28,128.35","Vault Onboarding, 6s Updates, and Reducing Vault Liquidation Ratios - August 20, 2021","",""
"2021-08-25 11:08:17 013094212_041_000_000_001_2","UP-VOTE","","28,128.35","MOMC Proposal, August Core Unit Budgets, Housekeeping - August 6, 2021","",""
"2021-08-25 11:08:17 013094212_041_000_000_001_1","UP-VOTE","","28,128.35","Vault Onboarding, 6s Updates, and Reducing Vault Liquidation Ratios - August 20, 2021","",""
"2021-08-25 11:08:17 013094212_041_000_000_001_0","STAKE","28,000.00","28,128.35","","",""
"2021-08-23 16:00:00 013082501_000_000","FINAL_CHOICE","","128.35","Ratification Poll for Declaration of Intent - Onboarding a new collateral type backed by B.Protocol v2 (MIP13c3-SP11) - August 9, 2021","Abstain",""
"2021-08-23 16:00:00 013082501_000_000","FINAL_CHOICE","","128.35","Ratification Poll for DAI Foundation Core Unit, DAIF-001 - August 9, 2021","Yes",""
"2021-08-23 16:00:00 013082501_000_000","FINAL_CHOICE","","128.35","Ratification Poll for Growth Core Unit MKR Budget, GRO-001 (MIP40c3-SP23) - August 9, 2021","Yes",""
"2021-08-22 21:43:51 013077637_006_000_2","VOTE","","128.35","MOMC Proposal, August Core Unit Budgets, Housekeeping - August 6, 2021","",""
"2021-08-22 21:43:51 013077637_006_000_1","VOTE","","128.35","Vault Onboarding, 6s Updates, and Reducing Vault Liquidation Ratios - August 20, 2021","",""
"2021-08-22 21:43:51 013077637_006_000_0","MOVE VOTE","","128.35","MOMC Proposal, August Core Unit Budgets, Housekeeping - August 6, 2021","",""
"2021-08-21 13:39:46 013068948_026_001_1","UP-VOTE","","128.35","MOMC Proposal, August Core Unit Budgets, Housekeeping - August 6, 2021","",""
"2021-08-21 13:39:46 013068948_026_001_0","STAKE","5.54","128.35","","",""
